id;url;highestBuyOrder;lowestSellOrder;sellsPerMonth;tracked;updatedAt;sellOrders;buyOrders
175880856;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Bowie%20Knife%20%7C%20Damascus%20Steel%20%28Factory%20New%29;22530;31168;0;false;1689335180181;101;4
1340002;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20AK-47%20%7C%20Red%20Laminate%20%28Factory%20New%29;68947;129008;0;false;1689335185165;642;1
156992073;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20M9%20Bayonet%20%7C%20Freehand%20%28Minimal%20Wear%29;57324;76107;0;false;1689335190197;107;2
176209823;https://steamcommunity.com/market/listings/730/AK-47%20%7C%20X-Ray%20%28Minimal%20Wear%29;135407;0;0;false;1689251675748;0;0
9846303;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Bayonet%20%7C%20Fade%20%28Factory%20New%29;124554;182770;0;false;1689335200217;1413;1
15029108;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Butterfly%20Knife%20%7C%20Crimson%20Web%20%28Field-Tested%29;102310;157212;0;false;1689335205324;445;1
15076647;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Butterfly%20Knife%20%7C%20Case%20Hardened%20%28Field-Tested%29;85291;108840;0;false;1689335210218;334;2
176010420;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Ursus%20Knife%20%7C%20Fade%20%28Minimal%20Wear%29;59220;0;0;false;1689251695759;0;0
9661385;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Flip%20Knife%20%7C%20Fade%20%28Factory%20New%29;62109;90081;0;false;1689335220236;455;5
156871168;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20M9%20Bayonet%20%7C%20Autotronic%20%28Field-Tested%29;105127;125350;0;false;1689335225223;188;2
176044973;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Talon%20Knife%20%7C%20Doppler%20%28Factory%20New%29;94169;124800;0;false;1689335230234;457;3
14959388;https://steamcommunity.com/market/listings/730/CZ75-Auto%20%7C%20Chalice%20%28Minimal%20Wear%29;27199;57368;0;false;1689335235239;172;2
15128588;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Butterfly%20Knife%20%7C%20Blue%20Steel%20%28Field-Tested%29;90416;0;0;false;1689251720825;0;0
9695294;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Night%20%28Field-Tested%29;54468;69935;0;false;1689335245221;169;5
9845785;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Crimson%20Web%20%28Field-Tested%29;96335;120934;0;false;1689335250235;674;1
165592185;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Bayonet%20%7C%20Gamma%20Doppler%20%28Factory%20New%29;84652;115187;0;false;1689335255249;468;2
49460236;https://steamcommunity.com/market/listings/730/M4A4%20%7C%20Poseidon%20%28Minimal%20Wear%29;96592;125204;0;false;1689335260245;825;2
15602261;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Butterfly%20Knife%20%7C%20Safari%20Mesh%20%28Minimal%20Wear%29;61826;0.10880999999999999;0;false;1689251745814;0;0
176358943;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20M4A4%20%7C%20Temukau%20%28Factory%20New%29;46795;66270;0;false;1689335270240;4387;10
14980584;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Butterfly%20Knife%20%7C%20Night%20%28Field-Tested%29;65764;94796;0;false;1689335275253;467;5
176092132;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Classic%20Knife%20%7C%20Slaughter%20%28Factory%20New%29;46500;65301;0;false;1689335280266;136;7
176209557;https://steamcommunity.com/market/listings/730/AWP%20%7C%20Fade%20%28Factory%20New%29;125300;139920;0;false;1689335285279;3768;5
30947550;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Bayonet%20%7C%20Marble%20Fade%20%28Factory%20New%29;102284;128340;0;false;1689335290322;649;9
14974567;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Butterfly%20Knife%20%7C%20Scorched%20%28Minimal%20Wear%29;59130;0;0;false;1689251775905;0;0
176092149;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Classic%20Knife%20%7C%20Fade%20%28Factory%20New%29;87500;120934;0;false;1689335300267;310;5
176045141;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Talon%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29;72680;115000;0;false;1689335305288;232;4
